                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2465,                  3.188,                  1.456,                0.22501,                0.39028,                0.28458,                0.17494,                 1.2199,                 6.5139,                 1.4417,             0.00012221,             0.00012221,             0.00012221
                      2,                 1.0696,                 1.5176,                 1.3462,                0.26976,                0.54501,                0.29619,                0.17605,                 1.0831,                    inf,                 1.5881,               0.000253,               0.000253,               0.000253
                      3,                 1.0794,                  1.397,                 1.3565,                0.06959,                0.62543,                0.06423,                0.03368,                 1.4816,                    inf,                 2.4566,             0.00038115,             0.00038115,             0.00038115
                      4,                 1.1417,                 1.4678,                 1.3882,                0.03711,                0.20272,                0.01876,                0.00693,                   2.97,                    inf,                 8.2565,             0.00050666,             0.00050666,             0.00050666
                      5,                 1.1924,                 1.4683,                 1.4339,                 0.0009,                0.09068,                0.00063,                0.00021,                 4.5632,                    inf,                 103.43,             0.00062953,             0.00062953,             0.00062953
                      6,                 1.2255,                  1.482,                  1.444,                0.05786,                0.05452,                0.01854,                0.00609,                 3.4541,                 21.346,                 4.0378,             0.00074976,             0.00074976,             0.00074976
                      7,                 1.2463,                 1.5605,                 1.4583,                0.01519,                0.08881,                 0.0055,                0.00171,                 3.7282,                    inf,                 7.7792,             0.00086736,             0.00086736,             0.00086736
                      8,                 1.2662,                 1.6378,                 1.4679,                0.00403,                0.08032,                 0.0017,                0.00053,                    nan,                    nan,                    nan,             0.00098231,             0.00098231,             0.00098231
                      9,                 1.3176,                 1.6101,                 1.5057,                0.21124,                0.05284,                0.00646,                0.00188,                 2.9897,                 19.298,                 4.0038,               0.001023,               0.001023,               0.001023
                     10,                 1.3187,                 1.6899,                  1.494,                 0.0089,                0.15228,                0.00997,                0.00334,                 2.8276,                 25.578,                 4.9166,               0.001023,               0.001023,               0.001023
                     11,                 1.2466,                 1.5611,                 1.4663,                0.32118,                0.18155,                0.04866,                 0.0208,                 2.6768,                    inf,                 4.5839,               0.001012,               0.001012,               0.001012
                     12,                 1.2409,                 1.4957,                 1.4451,                0.45684,                0.18774,                0.06908,                0.03067,                 2.3645,                 12.267,                 3.6046,               0.001001,               0.001001,               0.001001
                     13,                 1.1893,                 1.4659,                 1.4143,                0.16139,                0.25928,                0.10897,                0.05626,                 1.8571,                 13.447,                 3.0754,             0.00099001,             0.00099001,             0.00099001
                     14,                 1.2069,                  1.444,                 1.4264,                0.13416,                0.34233,                0.15255,                0.08137,                 1.7232,                 5.6243,                 2.4276,             0.00097901,             0.00097901,             0.00097901
                     15,                 1.1668,                 1.3852,                 1.4091,                   0.18,                0.38089,                0.22027,                0.12027,                 1.7189,                 4.9104,                 2.3015,             0.00096801,             0.00096801,             0.00096801
                     16,                  1.154,                 1.3861,                 1.3903,                0.45914,                0.34699,                0.28947,                0.16573,                 1.4931,                 2.6958,                 1.9632,             0.00095702,             0.00095702,             0.00095702
                     17,                 1.1289,                 1.3478,                 1.3749,                0.34925,                0.35224,                0.32896,                0.19107,                 1.5513,                 2.2318,                 2.1591,             0.00094602,             0.00094602,             0.00094602
                     18,                 1.1167,                 1.3022,                 1.3747,                0.46503,                0.56778,                0.49181,                0.30839,                 1.3734,                   1.97,                 1.8439,             0.00093502,             0.00093502,             0.00093502
                     19,                 1.0909,                 1.2519,                 1.3511,                 0.6275,                0.35339,                0.41078,                 0.2596,                 1.3348,                 1.9725,                  1.769,             0.00092402,             0.00092402,             0.00092402
                     20,                 1.0736,                 1.2562,                 1.3425,                0.17582,                0.30024,                0.20373,                0.11396,                  1.488,                 3.6973,                 1.9709,             0.00091302,             0.00091302,             0.00091302
                     21,                 1.0564,                   1.26,                 1.3256,                0.31698,                0.34886,                0.31604,                0.19394,                 1.4317,                 2.1798,                 1.7457,             0.00090202,             0.00090202,             0.00090202
                     22,                 1.0488,                  1.234,                  1.328,                0.41341,                0.48785,                0.44023,                0.27999,                 1.4105,                 1.7558,                 1.8731,             0.00089102,             0.00089102,             0.00089102
                     23,                 1.0677,                 1.1975,                 1.3461,                0.38859,                 0.3918,                0.38462,                0.24798,                  1.279,                 1.7579,                  1.679,             0.00088002,             0.00088002,             0.00088002
                     24,                 1.0343,                  1.221,                 1.3281,                0.51391,                0.48945,                0.49767,                0.32244,                 1.2611,                 1.4028,                 1.6536,             0.00086902,             0.00086902,             0.00086902
                     25,                 1.0407,                 1.2034,                 1.3167,                 0.4334,                0.56247,                0.45787,                0.29307,                  1.272,                  1.506,                 1.6756,             0.00085803,             0.00085803,             0.00085803
                     26,                 1.0057,                 1.1599,                 1.3004,                0.41224,                0.51154,                0.44356,                0.28812,                 1.2533,                  1.465,                 1.6198,             0.00084703,             0.00084703,             0.00084703
                     27,                 1.0046,                 1.1111,                 1.2985,                0.46646,                0.47185,                0.45654,                0.30399,                 1.2787,                 1.5432,                  1.654,             0.00083603,             0.00083603,             0.00083603
                     28,                0.99272,                 1.1142,                 1.2793,                0.50576,                0.44991,                0.47626,                 0.3114,                 1.2446,                 1.3969,                 1.5917,             0.00082503,             0.00082503,             0.00082503
                     29,                0.97776,                 1.1012,                 1.2727,                0.45354,                0.53531,                0.49373,                0.31966,                  1.266,                 1.4119,                 1.6301,             0.00081403,             0.00081403,             0.00081403
                     30,                0.97753,                 1.0797,                 1.2754,                0.51849,                0.44983,                0.46967,                0.29622,                 1.1963,                 1.4818,                 1.5561,             0.00080303,             0.00080303,             0.00080303
                     31,                0.96935,                 1.0429,                 1.2688,                0.43535,                 0.5146,                0.48919,                0.30965,                 1.2571,                 1.3578,                 1.5863,             0.00079203,             0.00079203,             0.00079203
                     32,                0.95871,                 1.0634,                 1.2627,                 0.4835,                0.52519,                0.51596,                0.36703,                 1.1099,                 1.3245,                 1.5175,             0.00078103,             0.00078103,             0.00078103
                     33,                0.95314,                 1.0427,                 1.2572,                0.48607,                0.40896,                0.40659,                0.25096,                 1.4346,                 1.8172,                 1.7319,             0.00077003,             0.00077003,             0.00077003
                     34,                0.95697,                 1.0551,                 1.2635,                0.49954,                0.52872,                0.54007,                0.36016,                 1.1892,                 1.2329,                 1.5601,             0.00075904,             0.00075904,             0.00075904
                     35,                0.97171,                 1.0505,                 1.2674,                0.54177,                0.57409,                0.58915,                0.40403,                 1.1226,                 1.2185,                  1.516,             0.00074804,             0.00074804,             0.00074804
                     36,                0.91977,                 1.0136,                 1.2414,                0.58682,                0.55275,                0.59073,                0.42495,                 1.1165,                 1.2767,                 1.4797,             0.00073704,             0.00073704,             0.00073704
                     37,                0.90842,                 1.0123,                 1.2313,                0.50219,                0.56552,                0.54817,                0.35437,                 1.1613,                 1.4627,                 1.5089,             0.00072604,             0.00072604,             0.00072604
                     38,                0.91741,                 1.0034,                 1.2445,                0.59963,                0.55494,                0.54618,                 0.3831,                 1.1047,                 1.2933,                 1.4916,             0.00071504,             0.00071504,             0.00071504
