Detection,Frame Number,Timestamp,Confidence
severe_accident,278.0,2024-01-14 23:08:41,0.58
severe_accident,279.0,2024-01-14 23:08:41,0.79
severe_accident,280.0,2024-01-14 23:08:42,0.84
severe_accident,281.0,2024-01-14 23:08:42,0.79
severe_accident,282.0,2024-01-14 23:08:42,0.84
severe_accident,283.0,2024-01-14 23:08:42,0.85
severe_accident,284.0,2024-01-14 23:08:42,0.74
severe_accident,285.0,2024-01-14 23:08:42,0.55
severe_accident,286.0,2024-01-14 23:08:42,0.8
severe_accident,287.0,2024-01-14 23:08:42,0.6
severe_accident,278.0,2024-01-14 23:08:56,0.58
severe_accident,279.0,2024-01-14 23:08:56,0.79
severe_accident,280.0,2024-01-14 23:08:56,0.84
severe_accident,281.0,2024-01-14 23:08:56,0.79
severe_accident,282.0,2024-01-14 23:08:56,0.84
severe_accident,283.0,2024-01-14 23:08:56,0.85
severe_accident,284.0,2024-01-14 23:08:56,0.74
severe_accident,285.0,2024-01-14 23:08:56,0.55
severe_accident,286.0,2024-01-14 23:08:56,0.8
severe_accident,287.0,2024-01-14 23:08:56,0.6
severe_accident,313.0,2024-01-14 23:08:57,0.85
severe_accident,314.0,2024-01-14 23:08:57,0.75
severe_accident,315.0,2024-01-14 23:08:57,0.74
severe_accident,316.0,2024-01-14 23:08:57,0.77
severe_accident,317.0,2024-01-14 23:08:57,0.65
severe_accident,318.0,2024-01-14 23:08:57,0.73
moderate_accident,319.0,2024-01-14 23:08:57,0.57
moderate_accident,320.0,2024-01-14 23:08:57,0.61
moderate_accident,321.0,2024-01-14 23:08:57,0.72
moderate_accident,322.0,2024-01-14 23:08:57,0.69
moderate_accident,323.0,2024-01-14 23:08:58,0.69
moderate_accident,324.0,2024-01-14 23:08:58,0.62
moderate_accident,325.0,2024-01-14 23:08:58,0.64
moderate_accident,326.0,2024-01-14 23:08:58,0.64
moderate_accident,327.0,2024-01-14 23:08:58,0.72
moderate_accident,328.0,2024-01-14 23:08:58,0.69
severe_accident,329.0,2024-01-14 23:08:58,0.65
severe_accident,330.0,2024-01-14 23:08:58,0.55
moderate_accident,330.0,2024-01-14 23:08:58,0.51
severe_accident,331.0,2024-01-14 23:08:58,0.58
moderate_accident,332.0,2024-01-14 23:08:58,0.59
severe_accident,332.0,2024-01-14 23:08:58,0.56
severe_accident,333.0,2024-01-14 23:08:58,0.6
moderate_accident,333.0,2024-01-14 23:08:58,0.55
moderate_accident,334.0,2024-01-14 23:08:58,0.59
severe_accident,334.0,2024-01-14 23:08:58,0.53
moderate_accident,335.0,2024-01-14 23:08:58,0.74
moderate_accident,336.0,2024-01-14 23:08:58,0.68
moderate_accident,337.0,2024-01-14 23:08:58,0.63
moderate_accident,338.0,2024-01-14 23:08:58,0.67
minor_accident,339.0,2024-01-14 23:08:58,0.7
moderate_accident,339.0,2024-01-14 23:08:58,0.65
minor_accident,340.0,2024-01-14 23:08:58,0.58
moderate_accident,340.0,2024-01-14 23:08:58,0.58
moderate_accident,341.0,2024-01-14 23:08:58,0.58
minor_accident,341.0,2024-01-14 23:08:58,0.57
moderate_accident,342.0,2024-01-14 23:08:58,0.55
minor_accident,343.0,2024-01-14 23:08:58,0.69
severe_accident,344.0,2024-01-14 23:08:58,0.52
severe_accident,345.0,2024-01-14 23:08:58,0.52
severe_accident,346.0,2024-01-14 23:08:58,0.52
severe_accident,359.0,2024-01-14 23:08:59,0.9
severe_accident,360.0,2024-01-14 23:08:59,0.96
severe_accident,361.0,2024-01-14 23:08:59,0.95
severe_accident,362.0,2024-01-14 23:08:59,0.96
severe_accident,363.0,2024-01-14 23:08:59,0.95
severe_accident,364.0,2024-01-14 23:08:59,0.93
severe_accident,365.0,2024-01-14 23:08:59,0.93
severe_accident,366.0,2024-01-14 23:08:59,0.92
severe_accident,367.0,2024-01-14 23:08:59,0.93
severe_accident,368.0,2024-01-14 23:08:59,0.94
severe_accident,369.0,2024-01-14 23:08:59,0.88
severe_accident,370.0,2024-01-14 23:08:59,0.91
severe_accident,371.0,2024-01-14 23:08:59,0.94
severe_accident,372.0,2024-01-14 23:08:59,0.95
severe_accident,373.0,2024-01-14 23:08:59,0.95
severe_accident,374.0,2024-01-14 23:08:59,0.95
severe_accident,375.0,2024-01-14 23:08:59,0.95
severe_accident,376.0,2024-01-14 23:08:59,0.95
severe_accident,377.0,2024-01-14 23:08:59,0.95
severe_accident,378.0,2024-01-14 23:08:59,0.94
severe_accident,379.0,2024-01-14 23:08:59,0.93
severe_accident,380.0,2024-01-14 23:09:00,0.94
severe_accident,381.0,2024-01-14 23:09:00,0.94
severe_accident,382.0,2024-01-14 23:09:00,0.93
severe_accident,383.0,2024-01-14 23:09:00,0.95
severe_accident,384.0,2024-01-14 23:09:00,0.94
severe_accident,385.0,2024-01-14 23:09:00,0.93
severe_accident,386.0,2024-01-14 23:09:00,0.92
severe_accident,387.0,2024-01-14 23:09:00,0.92
severe_accident,388.0,2024-01-14 23:09:00,0.9
severe_accident,389.0,2024-01-14 23:09:00,0.79
severe_accident,390.0,2024-01-14 23:09:00,0.84
severe_accident,391.0,2024-01-14 23:09:00,0.9
severe_accident,392.0,2024-01-14 23:09:00,0.86
severe_accident,393.0,2024-01-14 23:09:00,0.92
severe_accident,394.0,2024-01-14 23:09:00,0.93
severe_accident,395.0,2024-01-14 23:09:00,0.95
severe_accident,396.0,2024-01-14 23:09:00,0.95
severe_accident,397.0,2024-01-14 23:09:00,0.96
severe_accident,398.0,2024-01-14 23:09:00,0.96
severe_accident,399.0,2024-01-14 23:09:00,0.96
severe_accident,400.0,2024-01-14 23:09:00,0.94
severe_accident,401.0,2024-01-14 23:09:00,0.96
severe_accident,402.0,2024-01-14 23:09:00,0.93
severe_accident,403.0,2024-01-14 23:09:00,0.87
severe_accident,404.0,2024-01-14 23:09:00,0.67
severe_accident,405.0,2024-01-14 23:09:00,0.67
moderate_accident,406.0,2024-01-14 23:09:00,0.6
moderate_accident,407.0,2024-01-14 23:09:00,0.69
moderate_accident,408.0,2024-01-14 23:09:00,0.66
moderate_accident,409.0,2024-01-14 23:09:00,0.63
moderate_accident,410.0,2024-01-14 23:09:01,0.58
moderate_accident,411.0,2024-01-14 23:09:01,0.57
moderate_accident,412.0,2024-01-14 23:09:01,0.65
moderate_accident,413.0,2024-01-14 23:09:01,0.7
severe_accident,414.0,2024-01-14 23:09:01,0.78
severe_accident,415.0,2024-01-14 23:09:01,0.84
severe_accident,416.0,2024-01-14 23:09:01,0.9
severe_accident,417.0,2024-01-14 23:09:01,0.92
severe_accident,418.0,2024-01-14 23:09:01,0.9
severe_accident,419.0,2024-01-14 23:09:01,0.93
severe_accident,420.0,2024-01-14 23:09:01,0.9
severe_accident,421.0,2024-01-14 23:09:01,0.78
moderate_accident,421.0,2024-01-14 23:09:01,0.57
severe_accident,422.0,2024-01-14 23:09:01,0.82
moderate_accident,422.0,2024-01-14 23:09:01,0.57
severe_accident,423.0,2024-01-14 23:09:01,0.67
moderate_accident,423.0,2024-01-14 23:09:01,0.58
moderate_accident,424.0,2024-01-14 23:09:01,0.67
severe_accident,424.0,2024-01-14 23:09:01,0.61
severe_accident,425.0,2024-01-14 23:09:01,0.73
moderate_accident,425.0,2024-01-14 23:09:01,0.6
severe_accident,426.0,2024-01-14 23:09:01,0.71
moderate_accident,426.0,2024-01-14 23:09:01,0.62
moderate_accident,427.0,2024-01-14 23:09:01,0.61
