Class,Frame Number,Timestamp,Confidence
Automatic Rifle,1205.0,2024-01-12 22:29:01,0.91
Automatic Rifle,1206.0,2024-01-12 22:29:01,0.9
Automatic Rifle,1207.0,2024-01-12 22:29:01,0.9
Automatic Rifle,1208.0,2024-01-12 22:29:01,0.91
Automatic Rifle,1209.0,2024-01-12 22:29:01,0.9
Automatic Rifle,1210.0,2024-01-12 22:29:01,0.9
Automatic Rifle,1211.0,2024-01-12 22:29:01,0.9
Automatic Rifle,1212.0,2024-01-12 22:29:01,0.91
Automatic Rifle,1213.0,2024-01-12 22:29:01,0.89
Automatic Rifle,1214.0,2024-01-12 22:29:02,0.89
Automatic Rifle,1215.0,2024-01-12 22:29:02,0.89
Automatic Rifle,1216.0,2024-01-12 22:29:02,0.89
Automatic Rifle,1217.0,2024-01-12 22:29:02,0.88
Automatic Rifle,1218.0,2024-01-12 22:29:02,0.88
Automatic Rifle,1219.0,2024-01-12 22:29:02,0.89
Automatic Rifle,1220.0,2024-01-12 22:29:02,0.89
Automatic Rifle,1221.0,2024-01-12 22:29:02,0.89
Automatic Rifle,1222.0,2024-01-12 22:29:02,0.89
Automatic Rifle,1223.0,2024-01-12 22:29:02,0.89
Automatic Rifle,1224.0,2024-01-12 22:29:02,0.88
Automatic Rifle,1225.0,2024-01-12 22:29:02,0.82
Automatic Rifle,1226.0,2024-01-12 22:29:02,0.85
Automatic Rifle,1227.0,2024-01-12 22:29:02,0.88
Automatic Rifle,1228.0,2024-01-12 22:29:02,0.88
Automatic Rifle,1229.0,2024-01-12 22:29:02,0.87
Automatic Rifle,1230.0,2024-01-12 22:29:02,0.86
Automatic Rifle,1231.0,2024-01-12 22:29:02,0.88
Automatic Rifle,1232.0,2024-01-12 22:29:02,0.88
Automatic Rifle,1233.0,2024-01-12 22:29:03,0.89
Automatic Rifle,1234.0,2024-01-12 22:29:03,0.87
Automatic Rifle,1235.0,2024-01-12 22:29:03,0.88
Automatic Rifle,1236.0,2024-01-12 22:29:03,0.87
Automatic Rifle,1237.0,2024-01-12 22:29:03,0.87
Automatic Rifle,1238.0,2024-01-12 22:29:03,0.86
Automatic Rifle,2677.0,2024-01-12 22:30:15,0.85
Automatic Rifle,2678.0,2024-01-12 22:30:15,0.84
Automatic Rifle,2679.0,2024-01-12 22:30:15,0.85
Automatic Rifle,2680.0,2024-01-12 22:30:15,0.83
Automatic Rifle,2681.0,2024-01-12 22:30:15,0.85
Automatic Rifle,2682.0,2024-01-12 22:30:15,0.84
Automatic Rifle,2683.0,2024-01-12 22:30:15,0.82
Automatic Rifle,2684.0,2024-01-12 22:30:15,0.85
Automatic Rifle,2685.0,2024-01-12 22:30:15,0.84
Automatic Rifle,2686.0,2024-01-12 22:30:15,0.84
Automatic Rifle,2687.0,2024-01-12 22:30:15,0.82
Automatic Rifle,2688.0,2024-01-12 22:30:15,0.82
Automatic Rifle,2689.0,2024-01-12 22:30:15,0.81
Automatic Rifle,2704.0,2024-01-12 22:30:16,0.83
Automatic Rifle,2705.0,2024-01-12 22:30:16,0.86
Automatic Rifle,2706.0,2024-01-12 22:30:16,0.84
Automatic Rifle,2707.0,2024-01-12 22:30:16,0.85
Automatic Rifle,2708.0,2024-01-12 22:30:16,0.82
Automatic Rifle,2709.0,2024-01-12 22:30:16,0.84
Automatic Rifle,2710.0,2024-01-12 22:30:16,0.85
Automatic Rifle,2711.0,2024-01-12 22:30:16,0.85
Automatic Rifle,2712.0,2024-01-12 22:30:16,0.85
Automatic Rifle,2713.0,2024-01-12 22:30:17,0.86
Automatic Rifle,2714.0,2024-01-12 22:30:17,0.83
Automatic Rifle,2715.0,2024-01-12 22:30:17,0.86
Automatic Rifle,2716.0,2024-01-12 22:30:17,0.87
Automatic Rifle,2717.0,2024-01-12 22:30:17,0.86
