                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1738,                 2.0882,                  1.496,                0.65336,                0.30346,                0.21394,                 0.1256,                 1.1968,                 2.0595,                 1.5588,             0.00025454,             0.00025454,             0.00025454
                      2,                 1.2762,                 1.7817,                 1.5527,                0.52002,                 0.1422,                0.13552,                0.07573,                 1.6561,                 3.1204,                 1.9787,             0.00050076,             0.00050076,             0.00050076
                      3,                 1.4092,                 1.8871,                 1.6395,                 0.4642,                0.09274,                0.11971,                0.06493,                 1.6704,                 2.7443,                 2.1825,             0.00073683,             0.00073683,             0.00073683
                      4,                 1.3924,                 1.8599,                 1.6338,                0.36267,                0.26036,                0.17294,                0.11105,                 1.2492,                 2.5965,                 1.6409,             0.00072332,             0.00072332,             0.00072332
                      5,                 1.3437,                 1.6861,                 1.5871,                0.38397,                0.23372,                0.22684,                 0.1254,                 1.4075,                 1.8159,                 1.7392,             0.00072332,             0.00072332,             0.00072332
                      6,                 1.3985,                  1.792,                  1.645,                 0.4231,                0.20765,                0.21861,                0.10832,                 1.6221,                 2.2064,                 1.9485,              0.0007081,              0.0007081,              0.0007081
                      7,                 1.3327,                 1.6432,                 1.5876,                0.36533,                0.28035,                0.22823,                0.13738,                 1.3251,                 1.7901,                 1.7388,             0.00069287,             0.00069287,             0.00069287
                      8,                 1.2772,                  1.653,                 1.5482,                 0.3696,                0.31739,                0.22938,                0.14182,                  1.258,                 1.6127,                  1.626,             0.00067764,             0.00067764,             0.00067764
                      9,                 1.2497,                  1.612,                 1.5446,                0.50627,                 0.2816,                0.29612,                0.18222,                 1.1969,                 1.5439,                 1.5752,             0.00066242,             0.00066242,             0.00066242
                     10,                 1.2793,                 1.5316,                 1.5267,                 0.7184,                0.32319,                 0.3549,                0.21328,                 1.2109,                  1.506,                 1.5669,             0.00064719,             0.00064719,             0.00064719
                     11,                 1.2027,                 1.4879,                 1.4776,                0.58322,                0.25963,                0.28976,                0.18682,                 1.2032,                 1.5996,                 1.5442,             0.00063196,             0.00063196,             0.00063196
                     12,                 1.2066,                   1.45,                 1.4776,                0.48102,                0.33073,                0.32827,                0.20559,                 1.1225,                 1.6522,                 1.5072,             0.00061674,             0.00061674,             0.00061674
                     13,                 1.1657,                 1.4396,                 1.4515,                0.62321,                0.32036,                0.32913,                0.22734,                 1.1686,                  1.448,                  1.516,             0.00060151,             0.00060151,             0.00060151
                     14,                 1.1648,                 1.4318,                 1.4678,                0.61694,                0.32232,                  0.336,                0.22739,                 1.1568,                 1.3299,                 1.4987,             0.00058629,             0.00058629,             0.00058629
                     15,                 1.1296,                  1.348,                 1.4313,                0.65503,                0.33546,                0.37113,                0.27009,                 1.0665,                  1.368,                 1.4203,             0.00057106,             0.00057106,             0.00057106
                     16,                 1.1168,                 1.3612,                 1.4312,                0.64962,                 0.2961,                0.35359,                0.25289,                 1.0331,                 1.3549,                  1.397,             0.00055583,             0.00055583,             0.00055583
                     17,                 1.0864,                 1.2996,                 1.4158,                0.69699,                0.30355,                0.39255,                0.28304,                 1.1189,                 1.2526,                 1.4604,             0.00054061,             0.00054061,             0.00054061
                     18,                 1.0574,                 1.2834,                 1.4053,                0.66256,                0.28394,                 0.3619,                0.24601,                 1.0268,                 1.2821,                 1.3699,             0.00052538,             0.00052538,             0.00052538
