Detection Type,Class,Frame Number,Timestamp,Confidence
Accident,severe_accident,5.0,2024-01-15 12:22:26,0.62
Accident,moderate_accident,8.0,2024-01-15 12:22:28,0.72
Accident,moderate_accident,9.0,2024-01-15 12:22:28,0.69
Accident,severe_accident,9.0,2024-01-15 12:22:28,0.69
Accident,moderate_accident,10.0,2024-01-15 12:22:29,0.81
Accident,moderate_accident,11.0,2024-01-15 12:22:29,0.8
Accident,moderate_accident,12.0,2024-01-15 12:22:30,0.76
Accident,moderate_accident,13.0,2024-01-15 12:22:30,0.76
Accident,moderate_accident,14.0,2024-01-15 12:22:31,0.77
Accident,moderate_accident,15.0,2024-01-15 12:22:31,0.69
Accident,severe_accident,15.0,2024-01-15 12:22:31,0.65
Accident,severe_accident,16.0,2024-01-15 12:22:32,0.67
Accident,moderate_accident,16.0,2024-01-15 12:22:32,0.67
Accident,severe_accident,17.0,2024-01-15 12:22:32,0.64
Accident,severe_accident,5.0,2024-01-15 12:25:50,0.62
Accident,moderate_accident,8.0,2024-01-15 12:25:52,0.72
Accident,moderate_accident,9.0,2024-01-15 12:25:52,0.69
Accident,severe_accident,9.0,2024-01-15 12:25:52,0.69
Accident,moderate_accident,10.0,2024-01-15 12:25:53,0.81
Accident,moderate_accident,11.0,2024-01-15 12:25:53,0.8
Accident,moderate_accident,12.0,2024-01-15 12:25:54,0.76
Accident,moderate_accident,13.0,2024-01-15 12:25:54,0.76
Accident,moderate_accident,14.0,2024-01-15 12:25:55,0.77
Accident,moderate_accident,15.0,2024-01-15 12:25:55,0.69
Accident,severe_accident,15.0,2024-01-15 12:25:55,0.65
Accident,severe_accident,16.0,2024-01-15 12:25:56,0.67
Accident,moderate_accident,16.0,2024-01-15 12:25:56,0.67
Accident,severe_accident,17.0,2024-01-15 12:25:56,0.64
Violence,True,2024-01-15_logfile.csv,2024-01-15 12:26:16,0.5191588
Violence,True,2024-01-15_logfile.csv,2024-01-15 12:26:33,0.8045038
Violence,True,2024-01-15_logfile.csv,2024-01-15 12:26:36,0.71861655
Violence,True,2024-01-15_logfile.csv,2024-01-15 12:26:38,0.5401903
Accident,severe_accident,55.0,2024-01-15 12:26:42,0.82
Violence,True,2024-01-15_logfile.csv,2024-01-15 12:26:55,0.95606434
Violence,True,2024-01-15_logfile.csv,2024-01-15 12:26:56,0.79286534
Violence,True,2024-01-15_logfile.csv,2024-01-15 12:26:59,0.62291396
Violence,True,2024-01-15_logfile.csv,2024-01-15 12:27:01,0.8551465
Violence,True,2024-01-15_logfile.csv,2024-01-15 12:27:03,0.92363703
Violence,True,2024-01-15_logfile.csv,2024-01-15 12:27:05,0.97143763
Violence,True,2024-01-15_logfile.csv,2024-01-15 12:27:06,0.98297805
Violence,True,2024-01-15_logfile.csv,2024-01-15 12:27:07,0.93513864
Violence,True,2024-01-15_logfile.csv,2024-01-15 12:27:09,0.5392184
Violence,True,2024-01-15_logfile.csv,2024-01-15 12:27:24,0.87876713
Violence,True,2024-01-15_logfile.csv,2024-01-15 12:27:25,0.5977879
Violence,True,2024-01-15_logfile.csv,2024-01-15 12:27:34,0.63737416
Violence,True,2024-01-15_logfile.csv,2024-01-15 12:27:36,0.82229453
Violence,True,2024-01-15_logfile.csv,2024-01-15 12:27:38,0.98715264
Violence,True,2024-01-15_logfile.csv,2024-01-15 12:27:39,0.99692804
Violence,True,2024-01-15_logfile.csv,2024-01-15 12:27:40,0.931721
Violence,True,2024-01-15_logfile.csv,2024-01-15 12:27:41,0.92790014
Violence,True,2024-01-15_logfile.csv,2024-01-15 12:27:43,0.80566055
Violence,True,2024-01-15_logfile.csv,2024-01-15 12:28:02,0.9525403
Violence,True,2024-01-15_logfile.csv,2024-01-15 12:28:03,0.7898042
Violence,True,2024-01-15_logfile.csv,2024-01-15 12:28:09,0.79417855
Violence,True,2024-01-15_logfile.csv,2024-01-15 12:28:11,0.5159711
Violence,True,2024-01-15_logfile.csv,2024-01-15 12:28:36,0.5821287
Accident,severe_accident,5.0,2024-01-15 12:31:06,0.62
Accident,moderate_accident,8.0,2024-01-15 12:31:08,0.72
Accident,moderate_accident,9.0,2024-01-15 12:31:08,0.69
Accident,severe_accident,9.0,2024-01-15 12:31:08,0.69
Accident,moderate_accident,10.0,2024-01-15 12:31:09,0.81
Accident,moderate_accident,11.0,2024-01-15 12:31:09,0.8
Accident,moderate_accident,12.0,2024-01-15 12:31:10,0.76
Accident,moderate_accident,13.0,2024-01-15 12:31:10,0.76
Accident,moderate_accident,14.0,2024-01-15 12:31:11,0.77
Accident,moderate_accident,15.0,2024-01-15 12:31:11,0.69
Accident,severe_accident,15.0,2024-01-15 12:31:11,0.65
Accident,severe_accident,16.0,2024-01-15 12:31:12,0.67
Accident,moderate_accident,16.0,2024-01-15 12:31:12,0.67
Accident,severe_accident,17.0,2024-01-15 12:31:12,0.64
